"case_id","symptom","topology_note","concept_tag","severity","show_outputs","expected_fault"
"NET-001","PC1 cannot reach Server1 in VLAN 30","Router-on-a-Stick with Switch-01 and Router-01","Inter-VLAN Routing","High","Router01# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES unset  up                    up
GigabitEthernet0/0.10      192.168.10.1    YES manual up                    up
GigabitEthernet0/0.20      192.168.20.1    YES manual up                    up
GigabitEthernet0/0.30      192.168.30.1    YES manual administratively down line protocol is down
GigabitEthernet0/1         10.0.0.1        YES manual up                    up

Router01# show running-config interface GigabitEthernet0/0.30
Building configuration...
interface GigabitEthernet0/0.30
 encapsulation dot1Q 30
 ip address 192.168.30.1 255.255.255.0
 shutdown
!","GigabitEthernet0/0.30 sub-interface is administratively down"
"NET-002","OSPF adjacency not forming between R1 and R2 over GigabitEthernet0/1","Point-to-point link between R1 and R2 across subnet 10.0.12.0/30","OSPF","High","R1# show ip ospf neighbor

R1# show ip ospf interface GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet Address 10.0.12.1/30, Area 0, Attached via Interface Enable
  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1
  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5

R2# show ip ospf interface GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet Address 10.0.12.2/30, Area 1, Attached via Interface Enable
  Process ID 1, Router ID 2.2.2.2, Network Type BROADCAST, Cost: 1
  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5

R1# show log
*Mar 1 00:12:34.112: %OSPF-4-ERRRCV: Received packet with invalid Area ID 0.0.0.1 from 10.0.12.2 on GigabitEthernet0/1","OSPF Area ID mismatch between R1 (Area 0) and R2 (Area 1)"
"NET-003","Only the first LAN host can access the Internet; other LAN hosts fail","Branch edge router performing PAT for LAN 192.168.1.0/24 to ISP interface Gi0/0","NAT/PAT","Critical","EdgeRouter# show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
--- 203.0.113.2        192.168.1.10       ---                ---

EdgeRouter# show run | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip nat outside
interface GigabitEthernet0/1
 ip nat inside

EdgeRouter# show access-lists 1
Standard IP access list 1
    10 permit 192.168.1.0, wildcard bits 0.0.0.255 (4 matches)","Missing 'overload' keyword on 'ip nat inside source list' causing dynamic 1-to-1 NAT exhaustion instead of PAT"
"NET-004","Branch users cannot access external Web servers (HTTP/HTTPS) but DNS works","Enterprise border firewall/router with outbound Extended ACL","ACL","High","Gateway# show access-lists 101
Extended IP access list 101
    10 permit udp 192.168.0.0 0.0.255.255 any eq domain (142 matches)
    20 permit icmp 192.168.0.0 0.0.255.255 any (25 matches)
    30 deny ip any any log (890 matches)

Gateway# show run interface GigabitEthernet0/0
interface GigabitEthernet0/0
 description WAN Interface
 ip address 198.51.100.1 255.255.255.252
 ip access-group 101 out","Extended ACL 101 missing permit rules for TCP port 80 (HTTP) and port 443 (HTTPS)"
"NET-005","Sales PC in VLAN 20 cannot communicate across Switch-A and Switch-B","Distribution trunk link between Core-SW1 and Dist-SW2","VLAN/Trunking","Medium","Core-SW1# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Fa0/24      on               802.1q         trunking      1

Port        Vlans allowed on trunk
Fa0/24      10,30,40

Port        Vlans allowed and active in management domain
Fa0/24      10,30,40

Dist-SW2# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Fa0/24      on               802.1q         trunking      1

Port        Vlans allowed on trunk
Fa0/24      1-4094","VLAN 20 is not included in switchport trunk allowed vlan list on Core-SW1 Fa0/24"
"NET-006","Routing protocol fails to establish and hosts on subnet cannot reach gateway","Inter-router link between HQ-RTR and Branch-RTR","Subnetting/IP","High","HQ-RTR# show ip interface GigabitEthernet0/0/1
GigabitEthernet0/0/1 is up, line protocol is up
  Internet address is 172.16.50.1/25
  Broadcast address is 172.16.50.127
  Address determined by setup command
  MTU is 1500 bytes

Branch-RTR# show ip interface GigabitEthernet0/0/1
GigabitEthernet0/0/1 is up, line protocol is up
  Internet address is 172.16.50.130/25
  Broadcast address is 172.16.50.255
  Address determined by setup command
  MTU is 1500 bytes","Subnet mask /25 creates two separate subnets: HQ (172.16.50.1 in .0/25) cannot communicate with Branch (172.16.50.130 in .128/25)"
"NET-007","Severe packet loss and degraded throughput between Switch-1 and Switch-2","Uplink FastEthernet connection between access and distribution switches","Physical/Data Link","Medium","SW1# show interfaces FastEthernet0/1
FastEthernet0/1 is up, line protocol is up (connected)
  Hardware is Fast Ethernet, address is 000c.85df.1101 (bia 000c.85df.1101)
  Half-duplex, 100Mb/s, media type is 100BaseTX
  58231 input errors, 14212 CRC, 43901 frame, 0 overrun, 0 ignored
  89412 late collision, 1204 deferred, 0 lost carrier

SW2# show interfaces FastEthernet0/1
FastEthernet0/1 is up, line protocol is up (connected)
  Full-duplex, 100Mb/s, media type is 100BaseTX
  0 input errors, 0 CRC, 0 frame, 0 overrun, 0 ignored","Duplex mismatch: SW1 is hardcoded to Half-duplex while SW2 is Full-duplex causing collisions and packet drop"
"NET-008","Traffic from VLAN 20 dropped at router sub-interface; no encapsulation recognized","Router sub-interface configured for accounting department","Inter-VLAN Routing","High","R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10      192.168.10.1    YES manual up                    up
GigabitEthernet0/0.20      192.168.20.1    YES manual up                    up

R1# show run interface GigabitEthernet0/0.20
Building configuration...
interface GigabitEthernet0/0.20
 ip address 192.168.20.1 255.255.255.0
!
R1# show run interface GigabitEthernet0/0.10
Building configuration...
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
!","Sub-interface GigabitEthernet0/0.20 is missing 'encapsulation dot1Q 20' command"
"NET-009","CDP native VLAN mismatch warnings flooding console; traffic leaking between VLANs","Trunk link between SW-BuildingA and SW-BuildingB","VLAN/Trunking","Medium","SW-A# show log | include Native VLAN
*Mar 1 02:14:02.321: %CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with SW-B GigabitEthernet0/1 (1).

SW-A# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Operational Mode: trunk
Trunking Native Mode VLAN: 99 (VLAN0099)

SW-B# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Operational Mode: trunk
Trunking Native Mode VLAN: 1 (default)","Native VLAN mismatch: SW-A is configured with Native VLAN 99 while SW-B uses default Native VLAN 1"
"NET-010","Switch port repeatedly cycling between Blocking and Forwarding / Spanning Tree loop","Redundant link between Access Switch 3 and Distribution Switch 1","STP","Critical","SW3# show spanning-tree vlan 10
VLAN0010
  Spanning tree enabled protocol ieee
  Root ID    Priority    32778
             Address     0001.9654.1200
             Cost        19
             Port        19 (FastEthernet0/19)
  Bridge ID  Priority    32778  (priority 32768 sys-id-ext 10)
             Address     0009.7c32.8800

Interface           Role Sts Cost      Prio.Nbr Type
------------------- ---- --- --------- -------- --------------------------------
Fa0/19              Root BLK 19        128.19   P2p *ROOT_Inc
Fa0/20              Altn BLK 19        128.20   P2p

SW3# show log
%SPANTREE-2-ROOTINCONS: Root Guard block on port Fa0/19 on VLAN0010","Root Guard inconsistency on port Fa0/19 triggered by superior BPDUs from unauthorized bridge"
"NET-011","EtherChannel link aggregate between Core-1 and Core-2 remains in Down/Suspended state","2x 1Gbps bonded links on Port-Channel 1","EtherChannel","High","Core-1# show etherchannel summary
Group  Port-channel  Protocol    Ports
------+-------------+-----------+-----------------------------------------------
1      Po1(SD)          LACP      Gi0/1(D)    Gi0/2(D)

Core-1# show run interface GigabitEthernet0/1
interface GigabitEthernet0/1
 channel-group 1 mode on
interface GigabitEthernet0/2
 channel-group 1 mode on

Core-2# show etherchannel summary
Group  Port-channel  Protocol    Ports
------+-------------+-----------+-----------------------------------------------
1      Po1(SD)          LACP      Gi0/1(I)    Gi0/2(I)

Core-2# show run interface GigabitEthernet0/1
interface GigabitEthernet0/1
 channel-group 1 mode active","EtherChannel mode mismatch: Core-1 uses unconditional 'mode on' while Core-2 uses LACP 'mode active'"
"NET-012","New lab workstations fail to receive IP configuration automatically","Branch DHCP server on Cisco 2911 router","DHCP","High","DHCP-RTR# show ip dhcp pool
Pool LAN_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (total/usable)     : 254 / 250
 Total addresses                : 254
 Leased addresses               : 0
 Pending addresses              : 0
 Excluded addresses             : 4
 Subnet prefix                  : 192.168.5.0/24

DHCP-RTR# show run | section ip dhcp pool
ip dhcp pool LAN_POOL
   network 192.168.5.0 255.255.255.0
   dns-server 8.8.8.8
!","DHCP pool LAN_POOL is missing the 'default-router 192.168.5.1' parameter"
"NET-013","Finance PC loses network access immediately after user plugged in personal laptop","Floor 2 Access Switch port Fa0/8","Port Security","High","SW-Floor2# show interfaces FastEthernet0/8 status
Port      Name               Status       Vlan       Duplex  Speed Type
Fa0/8     Finance-Desk       err-disabled 20           auto   auto 10/100BaseTX

SW-Floor2# show port-security interface FastEthernet0/8
Port Security              : Enabled
Port Status                : Secure-shutdown
Violation Mode             : Shutdown
Maximum MAC Addresses      : 1
Total MAC Addresses        : 1
Configured MAC Addresses   : 0
Sticky MAC Addresses       : 1
Last Source Address:Vlan   : 0050.56be.89a1:20
Security Violation Count   : 1","Port security violation triggered err-disable on Fa0/8 due to unauthorized second MAC address"
"NET-014","OSPF neighbors stuck in EXSTART/EXCHANGE state; routing tables not exchanged","Gigabit link between DataCenter-R1 and Core-R2","OSPF","High","DC-R1# show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
2.2.2.2           1   EXSTART/DR      00:00:34    10.255.0.2      GigabitEthernet0/0

DC-R1# show interfaces GigabitEthernet0/0 | include MTU
  MTU 1500 bytes, BW 1000000 Kbit/sec, DLY 10 usec

Core-R2# show interfaces GigabitEthernet0/0 | include MTU
  MTU 1400 bytes, BW 1000000 Kbit/sec, DLY 10 usec

DC-R1# show log
%OSPF-5-ADJCHG: Process 1, Nbr 2.2.2.2 on GigabitEthernet0/0 from LOADING to EXSTART","OSPF neighbor stuck in EXSTART state due to MTU size mismatch (1500 bytes vs 1400 bytes)"
"NET-015","Branch router cannot forward any internet-bound packets to default gateway","Branch Edge Router static default routing","Static Routing","Critical","Branch-GW# show ip route
Gateway of last resort is 198.51.100.254 to network 0.0.0.0

S*    0.0.0.0/0 [1/0] via 198.51.100.254
C     198.51.100.0/30 is directly connected, GigabitEthernet0/0
      198.51.100.1/32 is subnetted, GigabitEthernet0/0

Branch-GW# show arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  198.51.100.1            -   0001.4285.a101  ARPA   GigabitEthernet0/0
Internet  198.51.100.254          0   Incomplete      ARPA   GigabitEthernet0/0","Static default route next-hop 198.51.100.254 is outside the directly connected /30 subnet (198.51.100.0 - 198.51.100.3)"
